word,disc,celex_gcm_wf,celex_gcm_nof,reg.av,category,moder,celex_gcm_wf_trans_moder_reg
smim,smIm,0.549047768203725,0.673462356283931,0.5792079207920792,ablaut,SANG,0.5246311825760581
smine,sm2n,0.628011355272705,0.779422940731723,0.6386138613861386,ove,DROVE,0.900596392829114
sming,smIN,0.384451296624942,0.137682132866548,0.5198019801980198,ablaut,SANG,0.276237118473384
smink,smINk,0.137382683727392,0.0660333709156112,0.5792079207920792,ablaut,SANG,0.16703914989352744
sneel,snil,0.760095187389664,0.751717023066356,0.4801980198019802,vowelt,KEPT,0.7062506654230318
sneem,snim,0.87618304481519,0.96704009883093,0.7128712871287128,vowelt,KEPT,0.907224662877021
sneen,snin,0.747646782922935,0.74914767763157,0.698019801980198,vowelt,KEPT,0.6991089820787755
sneep,snip,0.31440151387486,0.525457493382166,0.4306930693069307,vowelt,KEPT,0.462129716285553
sneeve,sniv,0.747845215095809,0.943975043232531,0.6138613861386139,ove,DROVE,0.8796794073123485
snill,snIl,0.8163817877427,0.77347345793355,0.7326732673267327,novowelt,BURNT,0.8493721211657277
snim,snIm,0.8375233338584,0.673462356283931,0.6534653465346535,ablaut,SANG,0.7909705281372043
snine,sn2n,0.892474763470493,0.973121628307987,0.6435643564356436,ove,DROVE,0.9529603397742731
sning,snIN,0.585159110455473,0.137682132866548,0.45544554455445546,ablaut,SANG,0.3792174731475245
snink,snINk,0.224741908723152,0.0660333709156112,0.4207920792079208,ablaut,SANG,0.24742121156118796
snite,sn2t,0.789453382033713,0.839480347973106,0.5297029702970297,ove,DROVE,0.880023512148886
snurn,sn3n,0.867731014471326,0.946937564950871,0.7574257425742574,novowelt,BURNT,0.8064555118763472
sping,spIN,0.535450725890289,0.349556002620033,0.400990099009901,ablaut,SANG,0.40524003688711047
spive,sp2v,0.567301155428186,0.876676770458591,0.41089108910891087,ove,DROVE,0.7540127563468966
spleel,splil,0.944962472719523,0.825150110328523,0.5495049504950495,vowelt,KEPT,0.8737524244413739
spleep,splip,0.319399569021644,0.134541726036345,0.3564356435643564,vowelt,KEPT,0.36631529112977496
splide,spl2d,0.404087630608991,0.808167249359284,0.4752475247524752,ove,DROVE,0.8126617223691266
splim,splIm,0.512186266467889,0.934745853595326,0.6089108910891089,ablaut,SANG,0.7641405213182949
spling,splIN,0.0675785802854808,0.0707197440483828,0.400990099009901,ablaut,SANG,0.26640856632658416
splink,splINk,0.529562171362144,0.500116888737046,0.4900990099009901,ablaut,SANG,0.538958202513005
splite,spl2t,0.871570695423206,0.968809281726885,0.4900990099009901,ove,DROVE,0.9287501152641756
splive,spl2v,0.25221879419241,0.707146539633818,0.4207920792079208,ove,DROVE,0.6261307506387038
splurn,spl3n,0.928917809335868,0.963776892118611,0.7029702970297029,novowelt,BURNT,0.8701861496463773
spreem,sprim,0.99063003429341,0.982993475765617,0.6386138613861386,vowelt,KEPT,0.971371582211128
spreen,sprin,0.994947892347908,0.996243424905347,0.6188118811881188,vowelt,KEPT,0.9772464432237347
sprell,sprEl,0.59029993340522,0.512327257722889,0.6287128712871287,novowelt,BURNT,0.6066826484756378
spride,spr2d,0.053081077791494,0.138069014929902,0.3465346534653465,ove,DROVE,0.450074594986823
sprim,sprIm,0.102660659342811,0.149298446564274,0.5671641791044776,ablaut,SANG,0.3269079479204382
sprine,spr2n,0.187770673690074,0.775975428830933,0.5544554455445545,ove,DROVE,0.8265998312193472
sprink,sprINk,0.0550256397188201,0.00685904114159484,0.400990099009901,ablaut,SANG,0.09293637846192654
sprurn,spr3n,0.951309316223467,0.994981387694543,0.6881188118811881,novowelt,BURNT,0.9321652297656652
squeem,skwim,0.984915781517828,0.987070055693753,0.6584158415841584,vowelt,KEPT,0.9612720945294594
squeen,skwin,0.993279625827789,0.980241604035661,0.6287128712871287,vowelt,KEPT,0.9682105173385978
squeep,skwip,0.611279706555941,0.511230245019296,0.5198019801980198,vowelt,KEPT,0.3938525738160547
squide,skw2d,0.29290695514888,0.807792802293423,0.40594059405940597,ove,DROVE,0.8673841542158929
squim,skwIm,0.493470206672442,0.509667261232314,0.5594059405940595,ablaut,SANG,0.5188609813301162
squine,skw2n,0.74644448115092,0.984749883167205,0.6782178217821783,ove,DROVE,0.9682323435692931
squink,skwINk,0.341618205035301,0.4961922617403,0.5693069306930693,ablaut,SANG,0.42208599591369445
squite,skw2t,0.548543696096077,0.871190424598497,0.504950495049505,ove,DROVE,0.8686027275206565
stell,stEl,0.739056905896514,0.677389494100164,0.6435643564356436,novowelt,BURNT,0.7741162469012635
streel,stril,0.991174022387838,0.995990410505649,0.5099009900990099,vowelt,KEPT,0.9663337345845563
streen,strin,0.993898986734917,0.996414997206298,0.7178217821782178,vowelt,KEPT,0.9707821682121318
strill,strIl,0.953881647973704,0.983417120921863,0.7722772277227723,novowelt,BURNT,0.9567427391296092
strim,strIm,0.606954474671598,0.938309370138768,0.6188118811881188,ablaut,SANG,0.7941231825051546
strine,str2n,0.0370867310651941,0.0954128570752823,0.5594059405940595,ove,DROVE,0.4151241525010176
strink,strINk,0.036377035021129,0.00685904114159484,0.4158415841584158,ablaut,SANG,0.07573165119836105
